"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_CATEGORY"
"0000130684","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","120","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02404","大学等、組織（４）、専門別（３０）、研究本務者数（女）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","大学等、組織（４）、専門別（３０）、研究本務者数（女）",""
"0000130685","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","100","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02501","大学等、組織（４）、種類（５）、大学等数・性格別内部使用研究費（５）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","大学等、組織（４）、種類（５）、大学等数・性格別内部使用研究費（５）",""
"0000130686","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","70","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02502","大学等、学問（１４）、大学等数・性格別内部使用研究費（５）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","大学等、学問（１４）、大学等数・性格別内部使用研究費（５）",""
"0000130687","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","105","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02503","大学等、組織（３）、学問（７）、大学等数・性格別内部使用研究費（５）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","大学等、組織（３）、学問（７）、大学等数・性格別内部使用研究費（５）",""
"0000130688","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","320","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02601","大学等、組織（４）、種類（５）、特定目的別内部使用研究費（１６）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","大学等、組織（４）、種類（５）、特定目的別内部使用研究費（１６）",""
"0000130689","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","224","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02602","大学等、学問（１４）、特定目的別内部使用研究費（１６）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","大学等、学問（１４）、特定目的別内部使用研究費（１６）",""
"0000130690","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","336","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02603","大学等、組織（３）、学問（７）、特定目的別内部使用研究費（１６）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","大学等、組織（３）、学問（７）、特定目的別内部使用研究費（１６）",""
"0000130691","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","480","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02701","大学等、組織（４）、種類（５）、受入研究費，外部支出研究費（２４）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","大学等、組織（４）、種類（５）、受入研究費，外部支出研究費（２４）",""
"0000130692","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","336","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02702","大学等、学問（１４）、受入研究費，外部支出研究費（２４）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","大学等、学問（１４）、受入研究費，外部支出研究費（２４）",""
"0000130693","科学技術研究調査 1999年（平成11年）科学技術研究調査","-","199903","2019-07-01","0","該当なし","504","2024-12-13","","00200543","科学技術研究調査","00200","総務省","02703","大学等、組織（３）、学問（７）、受入研究費，外部支出研究費（２４）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1999年（平成11年）科学技術研究調査","大学等、組織（３）、学問（７）、受入研究費，外部支出研究費（２４）",""
"0000130583","科学技術研究調査 1998年（平成10年）科学技術研究調査","-","199803","2019-07-01","0","該当なし","504","2024-12-13","","00200543","科学技術研究調査","00200","総務省","001","総括表（会社等，研究機関，大学等）、研究主体及び組織（２４）、支出源，支出別（２１）、内部使用研究費","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1998年（平成10年）科学技術研究調査","総括表（会社等，研究機関，大学等）、研究主体及び組織（２４）、支出源，支出別（２１）、内部使用研究費",""
"0000130584","科学技術研究調査 1998年（平成10年）科学技術研究調査","-","199803","2019-07-01","0","該当なし","5600","2024-12-13","","00200543","科学技術研究調査","00200","総務省","002","会社等（特殊法人含む）、産業（３２）、資本金階級（５）、研究関係従事者数，社内使用研究費，受入研究費，社外支出研究費（３５）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1998年（平成10年）科学技術研究調査","会社等（特殊法人含む）、産業（３２）、資本金階級（５）、研究関係従事者数，社内使用研究費，受入研究費，社外支出研究費（３５）",""
"0000130585","科学技術研究調査 1998年（平成10年）科学技術研究調査","-","199803","2019-07-01","0","該当なし","6720","2024-12-13","","00200543","科学技術研究調査","00200","総務省","003","会社、産業（３２）、従業者規模（６）、研究関係従事者数，社内使用研究費，受入研究費，社外支出研究費（３５）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1998年（平成10年）科学技術研究調査","会社、産業（３２）、従業者規模（６）、研究関係従事者数，社内使用研究費，受入研究費，社外支出研究費（３５）",""
"0000130586","科学技術研究調査 1998年（平成10年）科学技術研究調査","-","199803","2019-07-01","0","該当なし","3040","2024-12-13","","00200543","科学技術研究調査","00200","総務省","004","会社、産業（３２）、売上高階級（５）、研究関係従事者数，社内使用研究費（１９）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1998年（平成10年）科学技術研究調査","会社、産業（３２）、売上高階級（５）、研究関係従事者数，社内使用研究費（１９）",""
"0000130587","科学技術研究調査 1998年（平成10年）科学技術研究調査","-","199803","2019-07-01","0","該当なし","5600","2024-12-13","","00200543","科学技術研究調査","00200","総務省","005","会社、産業（３２）、研究本務者規模（５）、研究関係従事者数，社内使用研究費，受入研究費，社外支出研究費（３５）","11","情報通信・科学技術","02","科学技術","科学技術研究調査","1998年（平成10年）科学技術研究調査","会社、産業（３２）、研究本務者規模（５）、研究関係従事者数，社内使用研究費，受入研究費，社外支出研究費（３５）",""
